北京大学 pku.edu.cn mx1.pku.edu.cn 162.105.129.21
清华大学 tsinghua.edu.cn mta1.tsinghua.edu.cn 166.111.204.9
复旦大学 fudan.edu.cn mailrelay2.fudan.edu.cn 202.120.224.10
武汉大学 whu.edu.cn whu.edu.cn 202.114.64.84
中国人民大学 ruc.edu.cn hzmx01.mxmail.netease.com 223.252.213.104
上海交通大学 sjtu.edu.cn mx.sjtu.edu.cn 202.112.26.50
南京大学 nju.edu.cn mxbiz1.qq.com 182.254.34.66
国防科学技术大学 nudt.edu.cn mail.nudt.edu.cn 202.197.9.11
中山大学 mail.sysu.edu.cn mx4.sysu.edu.cn 202.116.64.35
吉林大学 jlu.edu.cn mail.jlu.edu.cn 202.198.16.76
中国科学技术大学 ustc.edu.cn smtp2.ustc.edu.cn 202.38.64.46
华中科技大学 hust.edu.cn mail.hust.edu.cn 202.114.0.240
四川大学 scu.edu.cn gw.scu.edu.cn 202.115.32.72
北京师范大学 bnu.edu.cn email.bnu.edu.cn 219.142.121.58
南开大学 nankai.edu.cn hzmx01.mxmail.netease.com 223.252.213.104
西安交通大学 mail.xjtu.edu.cn mail.xjtu.edu.cn 202.117.1.49
中南大学 csu.edu.cn smtp.csu.edu.cn 202.197.64.21
同济大学 tongji.edu.cn mx2.tongji.edu.cn 202.120.164.181
天津大学 tju.edu.cn hzmx01.mxmail.netease.com 223.252.213.104
山东大学 sdu.edu.cn sdu.edu.cn 202.194.14.6
哈尔滨工业大学 hit.edu.cn mail.hit.edu.cn 61.167.60.83
厦门大学 xmu.edu.cn mail.xmu.edu.cn 210.34.0.2
东南大学 pub.seu.edu.cn voidc50.seu.edu.cn 121.248.60.51
东北大学 mail.neu.edu.cn gateway.neu.edu.cn 202.118.1.83
重庆大学 cqu.edu.cn mail.cqu.edu.cn 202.202.0.36
华东师范大学 admin.ecnu.edu.cn webmail.ecnu.edu.cn 202.120.88.78
大连理工大学 dlut.edu.cn mx2.dlut.edu.cn 202.118.66.81
北京理工大学 bit.edu.cn mh.bit.edu.cn 202.204.80.7
华南理工大学 scut.edu.cn mx1.scut.edu.cn 202.38.193.176
中国农业大学 cau.edu.cn mx-cau-edu-cn.icoremail.net 114.251.217.10
湖南大学 hnu.edu.cn smtp.hnu.edu.cn 210.43.96.251
华中师范大学 mail.ccnu.edu.cn mxbiz1.qq.com 182.254.34.66
兰州大学 lzu.edu.cn pubmail.lzu.edu.cn 61.178.220.101
电子科技大学 uestc.edu.cn mail.uestc.edu.cn 202.112.14.176
武汉理工大学 whut.edu.cn mxhm.qiye.163.com 123.58.177.121
中国地质大学 cug.edu.cn mxhm.qiye.163.com 123.58.177.121
东北师范大学 nenu.edu.cn mxhm.qiye.163.com 123.58.177.121
北京科技大学 ustb.edu.cn smtp.ustb.edu.cn 202.204.60.20
长安大学 chd.edu.cn mxhm.qiye.163.com 123.58.177.121
北京交通大学 bjtu.edu.cn smg.bjtu.edu.cn 218.249.29.198
中国矿业大学 cumt.edu.cn mxbiz2.qq.com 182.254.34.62
北京协和医学院 pumc.edu.cn mail.pumc.edu.cn 222.28.160.113
南京农业大学 njau.edu.cn mail.njau.edu.cn 202.195.240.12
华东理工大学 ecust.edu.cn smg.ecust.edu.cn 202.120.111.26
华中农业大学 mail.hzau.edu.cn mx.hzau.edu.cn 211.69.143.3
南京师范大学 njnu.edu.cn mail.njnu.edu.cn 223.2.10.51
