北京大学 pku.edu.cn
清华大学 tsinghua.edu.cn
复旦大学 fudan.edu.cn
武汉大学 whu.edu.cn
中国人民大学 ruc.edu.cn
上海交通大学 sjtu.edu.cn 
南京大学 nju.edu.cn
国防科学技术大学 nudt.edu.cn
中山大学 mail.sysu.edu.cn　
吉林大学 jlu.edu.cn
中国科学技术大学 ustc.edu.cn
华中科技大学 hust.edu.cn
四川大学 scu.edu.cn
北京师范大学 bnu.edu.cn
南开大学 nankai.edu.cn 
西安交通大学 mail.xjtu.edu.cn
中南大学 csu.edu.cn
同济大学 tongji.edu.cn
天津大学 tju.edu.cn
山东大学 sdu.edu.cn
哈尔滨工业大学 hit.edu.cn
厦门大学 xmu.edu.cn
东南大学 pub.seu.edu.cn
东北大学 mail.neu.edu.cn
重庆大学 cqu.edu.cn
华东师范大学 admin.ecnu.edu.cn
大连理工大学 dlut.edu.cn
北京理工大学 bit.edu.cn
华南理工大学 scut.edu.cn
中国农业大学 cau.edu.cn
湖南大学 hnu.edu.cn
华中师范大学 mail.ccnu.edu.cn
兰州大学 lzu.edu.cn
电子科技大学 uestc.edu.cn
武汉理工大学 whut.edu.cn
中国地质大学 cug.edu.cn
东北师范大学 nenu.edu.cn
北京科技大学 ustb.edu.cn
长安大学 chd.edu.cn
北京交通大学 bjtu.edu.cn
中国矿业大学 cumt.edu.cn
北京协和医学院 pumc.edu.cn
南京农业大学 njau.edu.cn
华东理工大学 ecust.edu.cn
华中农业大学 mail.hzau.edu.cn
南京师范大学 njnu.edu.cn
西南交通大学 swjtu.edu.cn
西南大学 swu.edu.cn
中国海洋大学 ouc.edu.cn
河海大学 hhu.edu.cn
解放军信息工程大学 qq.com
南京理工大学 mail.njust.edu.cn
哈尔滨工程大学 hrbeu.edu.cn
中国石油大学 upc.edu.cn
南京航空航天大学 nuaa.edu.cn
郑州大学 zzu.edu.cn
苏州大学 suda.edu.cn
上海财经大学 sufe.edu.cn
西北农林科技大学 nwafu.edu.cn
中国政法大学 cupl.edu.cn
合肥工业大学 hfut.edu.cn
北京邮电大学 bupt.edu.cn
西安电子科技大学 xidian.edu.cn
华南师范大学 m.scnu.edu.cn
上海大学 shu.edu.cn
中南财经政法大学 znufe.edu.cn
西南财经大学 swufe.edu.cn
北京化工大学 mail.buct.edu.cn
东华大学 dhu.edu.cn
中央财经大学 cufe.edu.cn
北京工业大学 bjut.edu.cn
陕西师范大学 snnu.edu.cn
北京林业大学 bjfu.edu.cn
燕山大学 ysu.edu.cn
对外经济贸易大学 uibe.edu.cn
首都师范大学 cnu.edu.cn
华北电力大学 ncepu.edu.cn
华南农业大学 scau.edu.cn
浙江师范大学 zjnu.cn
安徽大学 ahu.edu.cn
江南大学 jiangnan.edu.cn
山西大学 sxu.edu.cn
